project_id,project_url,pull_request_id,pullreq_id,user_id,comment_id,position,body,commit_id,created_at,dialogue_act_classification_ml,pr_comments_cnt,pr_review_comments_cnt,pr_commits_cnt,pr_additions,pr_deletions,pr_changed_files,pr_merged_by_user_id,comment_author_association,comment_is_by_author,comment_updated_at,comment_html_url,pr_commits_cnt_prior_to_comment,commit_file_status,commit_file_additions,commit_file_deletions,commit_file_changes
30940386,https://api.github.com/repos/eclipse/rdf4j,17445585,584,7714043,89175671,10,"It doesn't, I just checked: https://github.com/eclipse/rdf4j/blob/master/eclipse-settings/codetemplates.xml",555522662,2016-11-22 18:07:57 UTC,Emphasis,29,23,30,1527,146,33,728776,NONE,True,2016-12-14T22:22:42Z,https://github.com/eclipse/rdf4j/pull/584#discussion_r89175671,22,modified,3,3,6
30940386,https://api.github.com/repos/eclipse/rdf4j,19414748,687,648104,93342886,70,"Just to be clear the problem is not that `hasActiveOperations` can be called concurrently (that is by design), but that it inspects the list of Futures. It needs to lock access to that list to avoid concurrent threads modifying it _while it is looping over it_. ",579593345,2016-12-20 22:52:38 UTC,nAnswer,5,28,4,1033,520,29,728776,CONTRIBUTOR,False,2016-12-21T02:19:18Z,https://github.com/eclipse/rdf4j/pull/687#discussion_r93342886,0,modified,114,108,222
30940386,https://api.github.com/repos/eclipse/rdf4j,18615733,642,20394,95280570,437,Can you reuse one of the existing Model implementations for this?,593645145,2017-01-10 00:48:01 UTC,ynQuestion,108,106,84,4615,4,39,728776,CONTRIBUTOR,False,2017-01-31T07:55:29Z,https://github.com/eclipse/rdf4j/pull/642#discussion_r95280570,48,modified,0,2,2
30940386,https://api.github.com/repos/eclipse/rdf4j,15682407,224,7714043,71192955,21,I wasn't sure about whether is was desirable to couple the base class with this feature. General consensus seems to be that it would be acceptable so I'll push it up.,470893718,2016-07-18 17:39:44 UTC,Clarify,1,16,7,853,429,127,Not Available,NONE,True,2016-07-18T18:54:14Z,https://github.com/eclipse/rdf4j/pull/224#discussion_r71192955,Not Available,Not Available,Not Available,Not Available,Not Available
30940386,https://api.github.com/repos/eclipse/rdf4j,14473845,47,20394,62133714,18,"If you want to use the basic mvn clean deploy without the release/nexus plugins you will need it, but I have never used the nexus plugin, so it may define all of that internally and you may be fine. :)",439334022,2016-05-04 23:54:03 UTC,Reject,0,5,4,66,6,1,728776,CONTRIBUTOR,False,2016-05-04T23:54:03Z,https://github.com/eclipse/rdf4j/pull/47#discussion_r62133714,3,modified,17,0,17
30940386,https://api.github.com/repos/eclipse/rdf4j,17612944,595,20394,82328468,13,What obstacles are there to having this take EvaluationStrategy instead of a specific implementation?,525274907,2016-10-07 04:47:13 UTC,whQuestion,4,9,6,2452,2077,28,728776,CONTRIBUTOR,False,2016-10-14T00:57:27Z,https://github.com/eclipse/rdf4j/pull/595#discussion_r82328468,3,modified,2,2,4
76384,https://api.github.com/repos/stripe/stripe-java,36060041,462,31982380,178269137,13,"I'm fine with adding a new helper method in `APIResource` for this, but we should ensure its usage is consistent. Obviously that shouldn't fall on you, but can you just add a ""TODO"" comment to update other model classes with subresources to use this method as well?
",960669408,2018-03-30 10:19:05 UTC,nAnswer,14,19,1,429,2,12,32648269,CONTRIBUTOR,False,2018-04-04T18:23:05Z,https://github.com/stripe/stripe-java/pull/462#discussion_r178269137,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,30379765,417,32041691,147170181,9,"Would you mind giving this a slightly more specific name and adding a doc block explaining roughly what it does to the class? I think that ""type data deserializer"" is just a little too generic given that this is all related to sources.

Sorry definitely a nit given that you were not the one to originally cause these issues :$",819313926,2017-10-26 15:00:27 UTC,Clarify,4,2,1,294,57,10,23105990,MEMBER,False,2017-10-26T21:32:12Z,https://github.com/stripe/stripe-java/pull/417#discussion_r147170181,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,25273543,374,32015086,118389056,4,Update: that test doesn't even support the old `user_id` key so I guess we're good though testing it explicitly might be worth it.,709684184,2017-05-24 23:33:39 UTC,Clarify,2,4,2,15,1,3,23105990,CONTRIBUTOR,False,2017-06-07T20:43:16Z,https://github.com/stripe/stripe-java/pull/374#discussion_r118389056,0,modified,1,1,2
76384,https://api.github.com/repos/stripe/stripe-java,23400333,365,1025662,112307096,71,See my comment above on why expandable fields would not work in this case.,672943536,2017-04-19 20:35:07 UTC,Clarify,14,12,4,121,19,4,23105990,CONTRIBUTOR,True,2017-06-09T15:49:13Z,https://github.com/stripe/stripe-java/pull/365#discussion_r112307096,2,modified,8,6,14
76384,https://api.github.com/repos/stripe/stripe-java,37141770,487,32041691,178311453,6,And same question here.,961227760,2018-03-30 15:26:01 UTC,Statement,2,3,1,585,627,67,23086931,MEMBER,False,2018-03-30T15:36:46Z,https://github.com/stripe/stripe-java/pull/487#discussion_r178311453,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,35204953,452,31982380,177815449,21,"I don't think it's necessary to check the value of every field (especially if you're using stripe-mock instead of an embedded fixture file). Mostly what we're testing here is that `fromJson` does not raise an exception.

In the other deserialization tests, I used just two asserts: `assertNotNull(resource)` + `assertNotNul(resource.getId())` to check for the unlikely case where deserialization would not raise an exception but return `null`, or return an instance with `null` values in attributes.

For models with submodels (e.g. `AccountPayoutSchedule`), we should create a separate deserialization test for the submodel, e.g. in `model/AccountPayoutScheduleTest.java`:
```java
String accountData = getFixture(""/v1/accounts/acct_123"");
String data = getDataAt(accountData, ""payout_schedule"");
AccountPayoutSchedule object = APIResource.GSON.fromJson(data, AccountPayoutSchedule.class);
assertNotNull(object);
assertNotNull(object.getInterval());
```

(cf. `ChargeOutcomeTest.java` in the first commit)",959272755,2018-03-28 16:46:33 UTC,Clarify,10,81,1,4627,7094,157,23086931,CONTRIBUTOR,True,2018-06-07T21:35:18Z,https://github.com/stripe/stripe-java/pull/452#discussion_r177815449,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,35204953,452,31982380,177812438,110,Rename to `testReject()`,959272755,2018-03-28 16:36:14 UTC,Statement,10,81,1,4627,7094,157,23086931,CONTRIBUTOR,True,2018-06-07T21:35:18Z,https://github.com/stripe/stripe-java/pull/452#discussion_r177812438,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,16719659,309,7942,77237022,5,"@dukehoops By default these fields get a modifier called ""package-private"" which means that they can only be used internally to the package. It's true that private might be a little better, but at least we aren't leaking an API. ",503836379,2016-09-01 19:21:06 UTC,Clarify,13,2,4,150,150,31,96890,CONTRIBUTOR,False,2016-10-17T22:35:30Z,https://github.com/stripe/stripe-java/pull/309#discussion_r77237022,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22009625,294,nit: normal in method names only makes sense with respect to multipart. You can probably remove it or indicate how it's different than multipart.    a. `getStripeResponse`  b. `getSinglePartStripeResponse`    are both fine,196226418,2014-12-17 21:22:05 UTC,Clarify,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22009625,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,6694219,149,128223,26638594,65,AssertNull,231658517,2015-03-18 04:10:14 UTC,Statement,6,23,1,760,26,14,935063,CONTRIBUTOR,False,2015-03-19T03:10:21Z,https://github.com/stripe/stripe-java/pull/149#discussion_r26638594,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,7361740,166,373987,29540697,16,How about a comment here describing what this is / why it is?,252162623,2015-05-01 21:20:28 UTC,whQuestion,0,4,1,462,23,8,28023,CONTRIBUTOR,False,2015-05-04T21:48:50Z,https://github.com/stripe/stripe-java/pull/166#discussion_r29540697,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,16769652,311,7942,77834466,17,Committed a small patch in ad217ff to give these getter/setters a little more breathing room.,505863596,2016-09-07 14:36:22 UTC,nAnswer,2,5,3,30,0,1,96890,CONTRIBUTOR,False,2016-09-07T14:36:22Z,https://github.com/stripe/stripe-java/pull/311#discussion_r77834466,0,modified,18,0,18
76384,https://api.github.com/repos/stripe/stripe-java,25273543,374,32041691,120739474,4,"Alright, I updated the fixture in 304fc78.",709684184,2017-06-07 20:43:37 UTC,nAnswer,2,4,2,15,1,3,23105990,MEMBER,True,2017-06-07T20:43:37Z,https://github.com/stripe/stripe-java/pull/374#discussion_r120739474,0,modified,1,1,2
76384,https://api.github.com/repos/stripe/stripe-java,18450942,330,32041691,86189947,4,"Hah, sorry for the nit, but just check leading whitespace here again (tabs).",547087598,2016-11-02 16:54:52 UTC,Clarify,2,1,3,64,0,5,23113967,MEMBER,False,2016-11-02T16:59:25Z,https://github.com/stripe/stripe-java/pull/330#discussion_r86189947,1,added,22,0,22
76384,https://api.github.com/repos/stripe/stripe-java,35231919,453,32041691,169504053,37,"Nit, but can we use `tu_123` instead? It's a convention that's at least starting to be established.",922927518,2018-02-21 00:28:18 UTC,Reject,6,16,1,491,0,6,23086931,MEMBER,False,2018-02-21T17:50:14Z,https://github.com/stripe/stripe-java/pull/453#discussion_r169504053,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22009852,118,Please check & throw an explicit exception for nullity,196226418,2014-12-17 21:25:19 UTC,Other,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22009852,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,13963563,283,7942,60063487,26,"Just in the interest of convention, would you mind adding setters for these as well? (e.g. `setAlipayAccount`) They won't be used in any production paths, but could be useful for testing and such.",427663554,2016-04-18 14:05:05 UTC,Clarify,6,3,1,197,1,3,96890,CONTRIBUTOR,False,2016-04-18T15:23:10Z,https://github.com/stripe/stripe-java/pull/283#discussion_r60063487,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,8918114,206,918752,37562564,26,"yes, the default impl is returning a null PasswordAuthentication. and i've verified.
```
scala> import java.net._
import java.net._
scala> import com.stripe._
import com.stripe._
scala> import com.stripe.model._
import com.stripe.model._
scala> val m = new java.util.HashMap[String, Object]
m: java.util.HashMap[String,Object] = {}
scala> m.put(""description"", ""xbwu.enable.proxy.test"")
res0: Object = null
scala> Stripe.apiKey=""sk_test_...""
Stripe.apiKey: String = sk_test_...
scala> Stripe.setConnectionProxy(new Proxy(Proxy.Type.HTTP, new InetSocketAddress(""localhost"", 3128)))
scala> Customer.create(m)
com.stripe.exception.APIConnectionException: IOException during API request to Stripe (https://api.stripe.com): Unable to tunnel through proxy. Proxy returns ""HTTP/1.1 407 Proxy Authentication Required"" Please check your internet connection and try again. If this problem persists,you should check Stripe's service status at https://twitter.com/stripestatus, or let us know at support@stripe.com.
scala> Stripe.setProxyCredential(new PasswordAuthentication(""payment"", ""......"".toCharArray))
scala> Customer.create(m)
res12: com.stripe.model.Customer =
<com.stripe.model.Customer@1074821682 id=cus_6pcgy8R2GZ0D7w> JSON: {......}
scala> Stripe.setProxyCredential(null)
scala> Stripe.setConnectionProxy(new Proxy(Proxy.Type.HTTP, new InetSocketAddress(""192.168.199.199"", 3128)))
scala> Customer.create(m)
res29: com.stripe.model.Customer =
<com.stripe.model.Customer@589773472 id=cus_6pclJkgE5yM3N6> JSON: {......}
```
in my environment, localhost:3128 is tunneling to a proxy server which requires authorization, while 192.168.199.199:3128 is a proxy server doesn't need auth

",299344387,2015-08-20 16:15:52 UTC,Clarify,4,2,3,47,4,2,34893,CONTRIBUTOR,True,2015-08-20T18:15:52Z,https://github.com/stripe/stripe-java/pull/206#discussion_r37562564,2,modified,6,8,14
76384,https://api.github.com/repos/stripe/stripe-java,25467252,382,32041691,122030777,111,"So I think it's convention to have all models (even submodels) at the top level of the `model` package (for example, `EventData` and `ChargeOutcomeRule`). Just to keep inline with that pattern, I think we should rename this to something like `EphemeralKeyAssociatedObject`and put it there.",714115760,2017-06-14 18:37:24 UTC,Clarify,3,2,7,283,3,6,23323746,MEMBER,False,2017-06-15T00:57:59Z,https://github.com/stripe/stripe-java/pull/382#discussion_r122030777,3,modified,4,0,4
76384,https://api.github.com/repos/stripe/stripe-java,18312166,328,7942,85590216,30,"And similarly here. e.g. ""Check if the JSON data is an object. If it is, it's an indication that the field has been expanded in the response.""",543959005,2016-10-28 18:53:31 UTC,Statement,9,20,18,1274,260,9,23113967,CONTRIBUTOR,False,2016-11-01T20:26:41Z,https://github.com/stripe/stripe-java/pull/328#discussion_r85590216,13,modified,3,4,7
76384,https://api.github.com/repos/stripe/stripe-java,2777046,55,373987,8808910,4,our currencies are lowercase,80785261,2014-01-11 04:18:42 UTC,Statement,2,1,2,9,2,3,139962,CONTRIBUTOR,False,2014-01-11T07:57:15Z,https://github.com/stripe/stripe-java/pull/55#discussion_r8808910,0,modified,2,1,3
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22009413,20,"It looks like you're not modifying these lines.     To add a file by hunk, use git interactive mode (`git add -p`)",196226418,2014-12-17 21:18:45 UTC,Clarify,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22009413,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,21389423,346,34112337,101567576,35,"Assertion order reversed on both of these assertions. Should be `assertEquals(expect, actual)` http://junit.sourceforge.net/javadoc/org/junit/Assert.html#assertEquals(java.lang.Object, java.lang.Object)",619397286,2017-02-16 16:44:21 UTC,Other,7,7,1,88,1,4,23105990,CONTRIBUTOR,False,2017-02-16T18:37:51Z,https://github.com/stripe/stripe-java/pull/346#discussion_r101567576,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22010474,35,"Can you implement hashCode && equals on the `FileUpload` class, then:    1. Remove URL and any other dynamic fields - check that they match a regex.  2. call `assertEquals` on the two `FileUpload` objects",196226418,2014-12-17 21:33:29 UTC,Clarify,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22010474,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22009794,5,"Per IRL, I meant to say `uploadApiBase`. This is fine too, but unrelated.",196226418,2014-12-17 21:24:29 UTC,Clarify,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22009794,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,5595882,130,128223,22009759,121,"> ""Empty Stripe apiBase specified!""",196226418,2014-12-17 21:24:02 UTC,Other,1,11,1,413,40,10,679197,CONTRIBUTOR,False,2014-12-18T20:36:10Z,https://github.com/stripe/stripe-java/pull/130#discussion_r22009759,Not Available,Not Available,Not Available,Not Available,Not Available
76384,https://api.github.com/repos/stripe/stripe-java,35231919,453,41385502,169456620,10,I think the convention from some of @jkakar-stripe PRs has been to alphabetize these but leave `id` and `object` on top?,922822677,2018-02-20 20:57:22 UTC,Clarify,6,16,1,491,0,6,23086931,NONE,False,2018-02-21T17:50:14Z,https://github.com/stripe/stripe-java/pull/453#discussion_r169456620,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,691127,101,146836,1853990,13,"@KevinVdV, one minor comment.

I'm assuming that we should also remove the ""VersionHistoryForm.title"" and ""VersionHistoryForm.trail"" from the corresponding i18n messages.xml file? 
https://github.com/DSpace/DSpace/blob/master/dspace-xmlui/src/main/webapp/i18n/messages.xml#L2259",18495681,2012-10-16 11:48:59 UTC,Clarify,0,2,2,0,20,2,483997,MEMBER,False,2012-10-17T10:34:39Z,https://github.com/DSpace/DSpace/pull/101#discussion_r1853990,0,modified,0,18,18
37843,https://api.github.com/repos/DSpace/DSpace,23384581,1707,75315,113958301,125,Is all this just to avoid mocking up an HttpServletRequest?,680690656,2017-04-28 15:34:19 UTC,whQuestion,13,3,8,770,381,9,611569,MEMBER,False,2017-05-03T09:15:59Z,https://github.com/DSpace/DSpace/pull/1707#discussion_r113958301,5,modified,63,31,94
37843,https://api.github.com/repos/DSpace/DSpace,6581083,884,5457573,26036860,47,I think that is still a problem with error ORA-00932 (direct compare CLOB and string - see above TODO comment) for oracle db. ,227866736,2015-03-09 13:00:14 UTC,Clarify,0,3,1,21,14,1,201026,CONTRIBUTOR,False,2015-03-09T21:17:00Z,https://github.com/DSpace/DSpace/pull/884#discussion_r26036860,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,2463103,395,271753,7875789,43,I really wan't to avoid such code in jsp files. Please move the retrieve logic (line 49) to the step class and just retrieve the list from a request attribute,71336360,2013-11-23 13:58:11 UTC,Clarify,1,6,9,288,52,13,1537527,MEMBER,False,2013-11-25T16:40:13Z,https://github.com/DSpace/DSpace/pull/395#discussion_r7875789,3,modified,13,7,20
37843,https://api.github.com/repos/DSpace/DSpace,2463103,395,3841,7881181,50,"Maybe in the case of simple embargo (the focus is the submitter so I think that the submitter want to know if you have already setted the embargo or not) the review step for bitstream section shouldn't show any information about policies settings (because a custom policy type is ever added by default, imho the submitter don't want to know this information). Recall that in XMLUI no informations are showed for simple embargo (neither in advanced embargo form in the case of the bitstreams review section). Summarizing in the simple embargo only the access step review will contains the embargo date, if exist, otherwise null, and in the bitstream review section no information will be shown. In the case of the advanced embargo form the PR implementation is approved. What do you think about this solution? (note that the simple embargo form give the user the opportunity only to add a single custom policy with a start date to the item - in the access step - and to the bitstreams - in the upload step - instead in the advanced embargo form the user can add multiple custom policy associate to the groups)",71336360,2013-11-24 23:33:31 UTC,Clarify,1,6,9,288,52,13,1537527,CONTRIBUTOR,True,2013-11-25T16:40:13Z,https://github.com/DSpace/DSpace/pull/395#discussion_r7881181,3,modified,17,3,20
37843,https://api.github.com/repos/DSpace/DSpace,34053127,1931,146836,163933346,22,"In several places in the PR, it looks like you replace `ListUtils` with `Collections`, but leave the `import org.apache.commons.collections4.ListUtils` in place?  Is this on purpose, or should the `import` simply be removed here?",898554683,2018-01-25 18:47:52 UTC,nAnswer,8,6,4,79,78,49,483997,MEMBER,False,2018-07-18T15:34:16Z,https://github.com/DSpace/DSpace/pull/1931#discussion_r163933346,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,2463103,395,271753,7875799,8,is there any reason to put this information in the submission info object instead of use a standard request attribute?,71336360,2013-11-23 14:03:34 UTC,nAnswer,1,6,9,288,52,13,1537527,MEMBER,False,2013-11-25T16:40:13Z,https://github.com/DSpace/DSpace/pull/395#discussion_r7875799,3,modified,7,0,7
37843,https://api.github.com/repos/DSpace/DSpace,29171942,1852,9348262,146594658,79,"If it is always 1, do we still need this method/class?",815982514,2017-10-24 15:15:45 UTC,ynQuestion,11,69,54,3436,1140,97,1537527,CONTRIBUTOR,False,2017-11-08T22:20:30Z,https://github.com/DSpace/DSpace/pull/1852#discussion_r146594658,40,modified,1,1,2
37843,https://api.github.com/repos/DSpace/DSpace,16811525,1509,271753,78824047,5,Not sure but the use of handle_id here looks strange to me.  I have also found this post on stackoverflow  http://stackoverflow.com/questions/27345133/use-column-name-instead-of-entity-property-in-jpql,491776171,2016-09-14 19:45:10 UTC,nAnswer,7,3,6,9,3,3,6109314,MEMBER,False,2016-09-19T17:37:51Z,https://github.com/DSpace/DSpace/pull/1509#discussion_r78824047,0,modified,1,1,2
37843,https://api.github.com/repos/DSpace/DSpace,266506,75,31455,1468943,30,"Apologies for not having time to go verify this on my own at the moment, but while I'm thinking about it, is the checking to make sure this group isn't assigned elsewhere in the repository done inside Group.delete()?",7407259,2012-08-27 19:26:36 UTC,Clarify,4,2,2,130,37,12,611569,MEMBER,False,2012-08-28T13:53:27Z,https://github.com/DSpace/DSpace/pull/75#discussion_r1468943,0,modified,53,5,58
37843,https://api.github.com/repos/DSpace/DSpace,2361326,372,283631,7343773,23,I just tried this out and e.getMessage returned null. ,68093214,2013-10-31 13:57:53 UTC,Statement,0,9,1,13,5,1,483997,MEMBER,True,2013-10-31T14:57:53Z,https://github.com/DSpace/DSpace/pull/372#discussion_r7343773,0,modified,13,5,18
37843,https://api.github.com/repos/DSpace/DSpace,34008065,1929,9348262,164707238,129,I think that if-tests `if (idx == to && to<from)` and `if (idx == to && to>from)` can be collapsed to `if (idx == to)` because the code inside the if-test is the same.,902774829,2018-01-30 11:02:12 UTC,Clarify,8,78,135,8051,5837,179,1892926,CONTRIBUTOR,False,2018-01-31T10:52:27Z,https://github.com/DSpace/DSpace/pull/1929#discussion_r164707238,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,16397972,1497,146836,75541847,8,"Minor note... you can strip out all these comments, as they don't need to be in the code itself (and they just describe why you changed the below line).      Instead, if you want to explain this difference, you can do so in the PR description/comments.",496736119,2016-08-19 19:51:06 UTC,Clarify,3,5,2,1,1,1,483997,MEMBER,False,2016-08-22T14:41:35Z,https://github.com/DSpace/DSpace/pull/1497#discussion_r75541847,0,modified,5,1,6
37843,https://api.github.com/repos/DSpace/DSpace,9077308,1035,146837,38097070,7,Oooops.... this was from another change I was working on that is completely untested & has nothing to do with the removal of the BundleBItstream object. Reverted this change in a new commit.,306635224,2015-08-27 11:54:42 UTC,nAnswer,9,5,6,418,687,93,1479750,MEMBER,True,2015-09-18T14:25:36Z,https://github.com/DSpace/DSpace/pull/1035#discussion_r38097070,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,6581083,884,5457573,26047173,47,"I agree. I tried the oracle string conversion functions for VARCHAR2, but without success. Always ended with an error ORA-00932. I think that is no way to use identical code for both DBMS, except change datatype CLOB to VARCHAR2 of column TEXT_VALUE of table METADATAVALUE.

I think that better solution for oracle will be:
```sql
sql += ""dbms_lob.compare(TEXT_VALUE, '"" + metadataEntry.getValue() + ""') = 0 AND "";
```
or maybe
```sql
sql += ""dbms_lob.compare(TEXT_VALUE, to_clob('"" + metadataEntry.getValue() + ""')) = 0 AND "";
```",227866736,2015-03-09 14:48:58 UTC,Clarify,0,3,1,21,14,1,201026,CONTRIBUTOR,False,2015-03-09T21:17:00Z,https://github.com/DSpace/DSpace/pull/884#discussion_r26047173,Not Available,Not Available,Not Available,Not Available,Not Available
37843,https://api.github.com/repos/DSpace/DSpace,12768807,1330,146837,55347783,50,String isn't properly closed.,400437901,2016-03-08 11:37:59 UTC,Statement,3,8,3,17,17,1,1479750,MEMBER,False,2016-04-23T20:03:32Z,https://github.com/DSpace/DSpace/pull/1330#discussion_r55347783,0,modified,17,17,34
37843,https://api.github.com/repos/DSpace/DSpace,1452185,212,271753,4675659,25,this should be retrieved as attribute attached to the request (set it in the servlet side),40162040,2013-06-13 07:52:12 UTC,Statement,2,4,1,2161,298,34,Not Available,MEMBER,False,2013-06-13T09:52:12Z,https://github.com/DSpace/DSpace/pull/212#discussion_r4675659,0,modified,23,1,24
